Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Consulta a serviços de proteção de crédito;23862762;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;40;Por evento
Consulta a serviços de proteção de crédito;86585049;COOPERATIVA DE CRÉDITO DA REGIÃO DO VALE DO RIO GRANDE LTDA. - SICOOB CREDILEITE;40;Por evento
Consulta a serviços de proteção de crédito;1559914;SICOOB AC CREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE E NORDESTE MINEIRO LTDA.;38;Por evento
Consulta a serviços de proteção de crédito;803287;COOPERATIVA DE CRÉDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ;35;Por evento
Consulta a serviços de proteção de crédito;62232889;BANCO DAYCOVAL S.A.;34,63;Por evento
Consulta a serviços de proteção de crédito;47074323;SICOOB CREDICONSUMO - COOPERATIVA DE CRÉDITO;33,8;Por evento
Consulta a serviços de proteção de crédito;3535065;COOPERATIVA DE CRÉDITO SICOOB CREDMETAL;33;Por evento
Consulta a serviços de proteção de crédito;62144175;BANCO PINE S.A.;31;Por evento
Consulta a serviços de proteção de crédito;4406371;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE GOIÁS;30,9;Por evento
Consulta a serviços de proteção de crédito;25606237;COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE;30;Por evento
Consulta a serviços de proteção de crédito;71154876;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NOROESTE DE MINAS GERAIS LTDA.   SICOOB CREDIPINHO;30;Por evento
Consulta a serviços de proteção de crédito;7412987;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL ALIANÇA;30;Por evento
Consulta a serviços de proteção de crédito;81292278;COOPERATIVA DE CRÉDITO ORIGINAL - SICOOB ORIGINAL;30;Por evento
Consulta a serviços de proteção de crédito;41707258;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTO ANTÔNIO DO MONTE LTDA.   SICOOB CREDIMONTE;30;Por evento
Consulta a serviços de proteção de crédito;41931445;COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR;30;Por evento
Consulta a serviços de proteção de crédito;2173447;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM;30;Por evento
Consulta a serviços de proteção de crédito;53236808;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE LIVRE ADMISSÃO DE ARARAQUARA E REGIÃO - SICOOB;30;Por evento
Consulta a serviços de proteção de crédito;698609;COOPERATIVA DE CRÉDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA. - SICOOB CREDIGERAIS;30;Por evento
Consulta a serviços de proteção de crédito;7652226;LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;30;Por evento
Consulta a serviços de proteção de crédito;6324872;COOPERATIVA DE CRÉDITO CREDINOSSO LTDA - SICOOB CREDINOSSO;30;Por evento
Consulta a serviços de proteção de crédito;3635061;CREDBRASIL - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA;30;Por evento
Consulta a serviços de proteção de crédito;8030602;COOPERATIVA DE CRÉDITO MÚTUO DOS CORRETORES DE SEGUROS DO ESTADO DE SÃO PAULO - SICOOB CREDICOR/SP;30;Por evento
Consulta a serviços de proteção de crédito;53935029;COOPERATIVA DE CRÉDITO COOCRELIVRE;30;Por evento
Consulta a serviços de proteção de crédito;25536764;COOPERATIVA DE CRÉDITO CREDILUZ LTDA. - SICOOB CREDILUZ;30;Por evento
Consulta a serviços de proteção de crédito;71419600;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE FRUTAL LTDA.   SICOOB FRUTAL;30;Por evento
Consulta a serviços de proteção de crédito;3311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;30;Por evento
Consulta a serviços de proteção de crédito;86791837;COOPERATIVA DE CRÉDITO DO VALE DOS PINHAIS - SICOOB VALE DOS PINHAIS;30;Por evento
Consulta a serviços de proteção de crédito;7237373;BANCO DO NORDESTE DO BRASIL S.A.;30;Por evento
Consulta a serviços de proteção de crédito;360305;CAIXA ECONOMICA FEDERAL;28,5;Por evento
Consulta a serviços de proteção de crédito;2883398;COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E VALE DO ITAPOCÚ - SICOOB MULTICREDI;27,5;Por evento
Consulta a serviços de proteção de crédito;26563270;PRIMACREDI COOPERATIVA DE CRÉDITO DE PRIMAVERA DO LESTE;27;Por evento
Consulta a serviços de proteção de crédito;7450604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;25;Por evento
Consulta a serviços de proteção de crédito;10690848;BANCO DA CHINA BRASIL S.A.;25;Por evento
Consulta a serviços de proteção de crédito;17453575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;25;Por evento
Consulta a serviços de proteção de crédito;61088183;BANCO MIZUHO DO BRASIL S.A.;25;Por evento
Consulta a serviços de proteção de crédito;73326449;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CRUZ ALTA;25;Por evento
Consulta a serviços de proteção de crédito;12599971;CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO;25;Por evento
Consulta a serviços de proteção de crédito;1644264;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA E DO CIRCUITO DO OURO LTDA. - SICOOB CREDIMEPI;25;Por evento
Consulta a serviços de proteção de crédito;3639902;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO FEDERAL NO ESTADO DO ESPÍRITO SANTO - CREDES;25;Por evento
Consulta a serviços de proteção de crédito;2232383;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC;25;Por evento
Consulta a serviços de proteção de crédito;15114366;BANCO BOCOM BBM S.A.;25;Por evento
Consulta a serviços de proteção de crédito;19402130;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FUNDAÇÃO HOSPITALAR E EMPREGADOS DOS ESTABELECIMENTOS HOSPITALARES DE BELO HORIZONTE, REGIÃO METROPOLITANA E ZONA DA MATA LTDA.- SICOOB CECREF;20;Por evento
Consulta a serviços de proteção de crédito;60770336;BANCO ALFA DE INVESTIMENTO S.A.;20;Por evento
Consulta a serviços de proteção de crédito;4316357;SOCIALCRED S/A - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE;20;Por evento
Consulta a serviços de proteção de crédito;46642294;COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA EMBRAER - COOPEREMB;20;Por evento
Consulta a serviços de proteção de crédito;4306351;INDEPENDÊNCIA COOPERATIVA DE CRÉDITO E INVESTIMENTO - INDEPENDÊNCIA COOPERATIVA DE CRÉDITO;20;Por evento
Consulta a serviços de proteção de crédito;26359745;COOPERATIVA DE CRÉDITO SICOOBMAIS  LTDA. - SICOOBMAIS;20;Por evento
Consulta a serviços de proteção de crédito;3323840;BANCO ALFA S.A.;20;Por evento
Consulta a serviços de proteção de crédito;71502181;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS BANCÁRIOS DE BELO HORIZONTE E REGIÃO METROPOLITANA LTDA. - COOPEB;20;Por evento
Consulta a serviços de proteção de crédito;78840071;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB CREDIAUC;20;Por evento
Consulta a serviços de proteção de crédito;78825270;COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;20;Por evento
Consulta a serviços de proteção de crédito;46570800;ALFA ARRENDAMENTO MERCANTIL S.A.;20;Por evento
Consulta a serviços de proteção de crédito;5158093;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO LESTE DA BACIA DO RIO DOCE LTDA   SICOOB CREDILESTE;20;Por evento
Consulta a serviços de proteção de crédito;21866694;COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR;20;Por evento
Consulta a serviços de proteção de crédito;32422628;COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ;20;Por evento
Consulta a serviços de proteção de crédito;80271455;BANCO RNX S.A.;20;Por evento
Consulta a serviços de proteção de crédito;17167412;FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;20;Por evento
Consulta a serviços de proteção de crédito;60889128;BANCO SOFISA S.A.;20;Por evento
Consulta a serviços de proteção de crédito;33644196;BANCO FATOR S.A.;20;Por evento
