Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Comum_para débito_saque_consultas;86585049;COOPERATIVA DE CRÉDITO DA REGIÃO DO VALE DO RIO GRANDE LTDA. - SICOOB CREDILEITE;30;A cada 365 dias
Comum_para débito_saque_consultas;86564051;COOPERATIVA DE CRÉDITO NOROESTE DE MINAS LTDA. - SICOOB NOROESTE DE MINAS;26,4;A cada 360 dias
Comum_para débito_saque_consultas;94433109;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE;25;A cada 365 dias
Comum_para débito_saque_consultas;4913711;BANCO DO ESTADO DO PARÁ S.A.;25;A cada 360 dias
Comum_para débito_saque_consultas;5351887;ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;25;A cada 1 dias
Comum_para débito_saque_consultas;1664968;COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA;24;A cada 180 dias
Comum_para débito_saque_consultas;62673470;COOPERATIVA DE CRÉDITO SICOOB COOPMIL;24;A cada 365 dias
Comum_para débito_saque_consultas;86389236;COOPERATIVA DE CRÉDITO SICOOB UNI SUDESTE;24;A cada 721 dias
Comum_para débito_saque_consultas;65229254;COOPERATIVA DE CRÉDITO COOPACREDI LTDA. - SICOOB COOPACREDI;22;A cada 365 dias
Comum_para débito_saque_consultas;22760839;COOPERATIVA DE CRÉDITO NOSSOCRÉDITO LTDA - SICOOB NOSSOCRÉDITO;21,4;A cada 365 dias
Comum_para débito_saque_consultas;71154256;COOPERATIVA DE CRÉDITO SACRAMENTO LTDA - SICOOB SACRAMENTO;20;A cada 30 dias
Comum_para débito_saque_consultas;1705236;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PROSPERAR LTDA. - UNICRED PROSPERAR;20;A cada 360 dias
Comum_para débito_saque_consultas;94243839;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DO VALE DAS ANTAS LTDA. - UNICRED PIONEIRA;20;A cada 360 dias
Comum_para débito_saque_consultas;1572667;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ERECHIM LTDA;20;A cada 360 dias
Comum_para débito_saque_consultas;1090027;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA;20;A cada 1 dias
Comum_para débito_saque_consultas;2794761;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DE VIÇOSA LTDA. - SICOOB UFVCREDI;20;A cada 90 dias
Comum_para débito_saque_consultas;71230338;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ARCOS LTDA. - SICOOB ARCOMCREDI;20;A cada 360 dias
Comum_para débito_saque_consultas;82133182;COOPERATIVA DE CRÉDITO DO VALE EUROPEU - SICOOB EURO VALE;20;A cada 30 dias
Comum_para débito_saque_consultas;1796302;COOPERATIVA DE CRÉDITO UNICRED REGIÃO DOS VALES LTDA. - UNICRED REGIÃO DOS VALES;20;A cada 360 dias
Comum_para débito_saque_consultas;81367880;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC;20;A cada 30 dias
Comum_para débito_saque_consultas;1526924;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED HORIZONTES LTDA - UNICRED HORIZONTES;20;A cada 360 dias
Comum_para débito_saque_consultas;95163002;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ELEVA LTDA.;20;A cada 360 dias
Comum_para débito_saque_consultas;73750424;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED INTEGRAÇÃO LTDA.;20;A cada 360 dias
Comum_para débito_saque_consultas;1657678;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED;20;A cada 30 dias
Comum_para débito_saque_consultas;1634601;COOPERATIVA CENTRAL DE CRÉDITO UNICRED GERAÇÃO LTDA. - UNICRED CENTRAL GERAÇÃO;20;A cada 360 dias
Comum_para débito_saque_consultas;2833202;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE VITÓRIA DA CONQUISTA;20;A cada 365 dias
Comum_para débito_saque_consultas;9576849;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA;20;A cada 360 dias
Comum_para débito_saque_consultas;2641032;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PONTO CAPITAL - UNICRED PONTO CAPITAL.;20;A cada 360 dias
Comum_para débito_saque_consultas;53935029;COOPERATIVA DE CRÉDITO COOCRELIVRE;20;A cada 30 dias
Comum_para débito_saque_consultas;33579731;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO-SUL GOIANO LTDA;20;A cada 365 dias
Comum_para débito_saque_consultas;25536764;COOPERATIVA DE CRÉDITO CREDILUZ LTDA. - SICOOB CREDILUZ;20;A cada 365 dias
Comum_para débito_saque_consultas;71419600;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE FRUTAL LTDA.   SICOOB FRUTAL;20;A cada 365 dias
Comum_para débito_saque_consultas;36900256;COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO;20;A cada 1 dias
Comum_para débito_saque_consultas;10262276;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;20;A cada 30 dias
Comum_para débito_saque_consultas;42887133;COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO;20;A cada 365 dias
Comum_para débito_saque_consultas;1635462;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS DOS VALES DO TAQUARI E RIO PARDO E REGIÃO DA PRODUÇÃO LTDA. - UNICRED PREMIUM;20;A cada 360 dias
Comum_para débito_saque_consultas;39231527;UNICRED COSTA DO SOL RJ - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO LTDA.;20;A cada 1 dias
Comum_para débito_saque_consultas;4445917;UNICRED REGIONAL NORTE LAGOS - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO REGIONAL NORTE LAGOS LTDA;20;A cada 1 dias
