Cnpj,RazaoSocial,ValorMaximo,Periodicidade
9512539,COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ,250,Por evento
7747410,M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,200,Por evento
250699,AGK CORRETORA DE CAMBIO S.A.,200,Por evento
33042151,BANCO DE LA NACION ARGENTINA,200,Por evento
7693858,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,200,Por evento
39669186,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,200,Por evento
40429946,BANCO PORTO REAL DE INVESTIMENTOS S.A,200,Por evento
24795049,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO,200,Por evento
20269566,VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,200,Por evento
3848103,AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S.A.,200,Por evento
25536764,COOPERATIVA DE CRÉDITO CREDILUZ LTDA. - SICOOB CREDILUZ,200,Por evento
7512780,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU,200,Por evento
25387713,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL,200,Por evento
966246,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,200,Por evento
7237373,BANCO DO NORDESTE DO BRASIL S.A.,200,Por evento
82639451,COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,190,Por evento
61024352,BANCO VOITER S.A.,180,Por evento
1152097,COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA,150,Por evento
7441209,BANCO MONEO S.A.,150,Por evento
23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",150,Por evento
4184779,BANCO BRADESCARD S.A.,150,Por evento
17351180,BANCO TRIANGULO S.A.,150,Por evento
3058464,AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A,150,Por evento
6284531,AGÊNCIA DE FOMENTO DO ESTADO DE MATO GROSSO S/A - DESENVOLVE MT,140,Por evento
7925729,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE,125,Por evento
5276770,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA FRONTEIRAS PR/SC/SP/ES - CRESOL FRONTEIRAS PR/SC/SP/ES,125,Por evento
4490531,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS,125,Por evento
8560508,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRIUNFO - CRESOL TRIUNFO,125,Por evento
6126780,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA GRANDES LAGOS PR/SP - CRESOL GRANDES LAGOS PR/SP,125,Por evento
