Cnpj,RazaoSocial,ValorMaximo,Periodicidade
22656789,COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE,10,A cada 15 dias
1657678,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED,10,A cada 30 dias
558456,BANCO CETELEM S.A.,10,A cada 30 dias
4814563,BANCO AFINZ S.A. - BANCO MÚLTIPLO,10,A cada 30 dias
1522368,BANCO BNP PARIBAS BRASIL S.A.,10,A cada 30 dias
80959612,COOPERATIVA DE CRÉDITO ALTO VALE DO ITAJAÍ - SICOOB ALTO VALE,10,A cada 30 dias
58497702,BANCO LETSBANK S.A.,10,A cada 30 dias
795423,BANCO SEMEAR S.A.,10,A cada 30 dias
7441209,BANCO MONEO S.A.,10,A cada 30 dias
8742188,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO,10,A cada 90 dias
17167412,"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",10,A cada 30 dias
53935029,COOPERATIVA DE CRÉDITO COOCRELIVRE,10,A cada 1 dias
14388334,PARANÁ BANCO S.A.,10,A cada 30 dias
59118133,BANCO LUSO BRASILEIRO S.A.,10,A cada 60 dias
19869338,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO,10,A cada 30 dias
23623636,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT,10,A cada 30 dias
10664513,BANCO AGIBANK S.A.,10,A cada 30 dias
12599971,"CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO",10,A cada 30 dias
10262276,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,10,A cada 30 dias
25353939,COOPERATIVA DE CRÉDITO CREDIALP LTDA - SICOOB CREDIALP,10,A cada 30 dias
2232383,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC,10,A cada 30 dias
416968,BANCO INTER S.A.,10,A cada 30 dias
14046512,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA,10,A cada 30 dias
24610065,COOPERATIVA DE CRÉDITO SICOOB IPÊ - SICOOB IPÊ,10,A cada 90 dias
7946216,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIÃO SUDESTE,10,A cada 30 dias
41697103,COOPERATIVA DE CRÉDITO CREDILIVRE LTDA. - SICOOB CREDILIVRE,10,A cada 30 dias
60850229,OMNI BANCO S.A.,"9,9",A cada 30 dias
2173447,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM,9,A cada 30 dias
1559914,SICOOB AC CREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE E NORDESTE MINEIRO LTDA.,"8,75",A cada 30 dias
2448310,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA PROGRESSO - CRESOL PROGRESSO,8,A cada 30 dias
4350225,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRADIÇÃO - CRESOL TRADIÇÃO,8,A cada 30 dias
4663561,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA VALE DAS ÁGUAS PR/MG - CRESOL VALE DAS ÁGUAS PR/MG,8,A cada 30 dias
8560508,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRIUNFO - CRESOL TRIUNFO,8,A cada 30 dias
7925729,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE,8,A cada 30 dias
5276770,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA FRONTEIRAS PR/SC/SP/ES - CRESOL FRONTEIRAS PR/SC/SP/ES,8,A cada 30 dias
4490531,COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS,8,A cada 30 dias
6910457,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,8,A cada 30 dias
63229629,COOPERATIVA DE CREDITO RURAL ASCOOB SISAL,8,A cada 30 dias
78862083,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CAMPOS NOVOS - SICOOB CAMPOS NOVOS,8,A cada 30 dias
78825023,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OESTE CATARINENSE,8,A cada 30 dias
